,Company Name,Skills Required,Apply and More information
0,Pure Tech Codex Private Limited,"rest  ,  python  ,  database  ,  django  ,  debugging  ,  mongodb",https://www.timesjobs.com/job-detail/python-pure-tech-codex-private-limited-pune-2-to-3-yrs-jobid-OHwfF0d6EhNzpSvf__PLUS__uAgZw==&source=srp
1,Surya Informatics Solutions Pvt. Ltd.,"python  ,  web technologies  ,  linux  ,  mobile  ,  mysql  ,  angularjs  ,  javascript",https://www.timesjobs.com/job-detail/python-surya-informatics-solutions-pvt-ltd-chennai-0-to-3-yrs-jobid-UVlLes58wutzpSvf__PLUS__uAgZw==&source=srp
2,Gemini Solutions,"python  ,  mobile  ,  svn  ,  nosql  ,  python scripting  ,  git  ,  api  ,  sql database",https://www.timesjobs.com/job-detail/qa-python-python-sdet-gemini-solutions-gurgaon-4-to-7-yrs-jobid-eGMLzwOk2QlzpSvf__PLUS__uAgZw==&source=srp
3,Ivan Infotech Pvt. Ltd.,"rest  ,  python  ,  security  ,  debugging",https://www.timesjobs.com/job-detail/python-developer-ivan-infotech-pvt-ltd-kolkata-2-to-5-yrs-jobid-1h6sLaqbaBZzpSvf__PLUS__uAgZw==&source=srp
4,DBS Bank Ltd,"python  ,  java  ,  infrastructure  ,  software engineering",https://www.timesjobs.com/job-detail/python-engineer-dbs-bank-ltd-hyderabad-secunderabad-0-to-3-yrs-jobid-4gbq5MyGx9pzpSvf__PLUS__uAgZw==&source=srp
5,CONNECTING 2 WORK,"rest  ,  python  ,  django  ,  mongodb",https://www.timesjobs.com/job-detail/python-trainer-connecting-2-work-calicut-kozhikode-0-to-3-yrs-jobid-kXED__PLUS__hcGqIpzpSvf__PLUS__uAgZw==&source=srp
6,TandA HR Solutions,"python  ,  git  ,  django",https://www.timesjobs.com/job-detail/python-developer-tanda-hr-solutions-gurgaon-chandigarh-4-to-6-yrs-jobid-2OM9xzKEDx5zpSvf__PLUS__uAgZw==&source=srp
7,dbs asia hub 2,"python  ,  java  ,  infrastructure  ,  software engineering",https://www.timesjobs.com/job-detail/python-engineer-dbs-asia-hub-2-hyderabad-secunderabad-0-to-3-yrs-jobid-HFr7SPrJd__PLUS__ZzpSvf__PLUS__uAgZw==&source=srp
8,Datagrid Solutions,"python  ,  database  ,  django  ,  mysql  ,  api",https://www.timesjobs.com/job-detail/python-developer-datagrid-solutions-mumbai-2-to-3-yrs-jobid-yAspoeIZIo5zpSvf__PLUS__uAgZw==&source=srp
9,east india securities ltd.,"python  ,  hadoop  ,  machine learning",https://www.timesjobs.com/job-detail/python-engineer-east-india-securities-ltd-kolkata-2-to-5-yrs-jobid-KEkE19WqPbFzpSvf__PLUS__uAgZw==&source=srp
10,TandA HR Solutions,"python  ,  django  ,  sql",https://www.timesjobs.com/job-detail/python-developer-tanda-hr-solutions-gurgaon-0-to-3-yrs-jobid-dMtCdFUMRY5zpSvf__PLUS__uAgZw==&source=srp
11,hk infosoft,"python  ,  django  ,    ,   framework",https://www.timesjobs.com/job-detail/python-developer-hk-infosoft-ahmedabad-2-to-3-yrs-jobid-qPkmbRWxs5dzpSvf__PLUS__uAgZw==&source=srp
12,BRICKRED TECHNOLOGIES PVT. LTD.,"image processing  ,  python  ,  opencv",https://www.timesjobs.com/job-detail/python-developer-brickred-technologies-pvt-ltd-0-to-3-yrs-jobid-gFvdvfbX1XdzpSvf__PLUS__uAgZw==&source=srp
13,BRICKRED TECHNOLOGIES PVT. LTD.,"image processing  ,  python  ,  opencv",https://www.timesjobs.com/job-detail/python-developer-brickred-technologies-pvt-ltd-0-to-3-yrs-jobid-p9__SLASH__whk__PLUS____PLUS__Ie1zpSvf__PLUS__uAgZw==&source=srp
14,BRICKRED TECHNOLOGIES PVT. LTD.,"image processing  ,  python  ,  opencv",https://www.timesjobs.com/job-detail/python-developer-brickred-technologies-pvt-ltd-0-to-3-yrs-jobid-LHhOOHnAobhzpSvf__PLUS__uAgZw==&source=srp
15,TandA HR Solutions,"python  ,  git  ,  django",https://www.timesjobs.com/job-detail/python-developers-tanda-hr-solutions-chandigarh-2-to-5-yrs-jobid-OtVSvO0kmYNzpSvf__PLUS__uAgZw==&source=srp
16,Perfios Software Solutions Pvt. Ltd.,"python  ,  java  ,  scala",https://www.timesjobs.com/job-detail/python-developer-perfios-software-solutions-pvt-ltd-bengaluru-bangalore-5-to-8-yrs-jobid-vxzXapFfNqVzpSvf__PLUS__uAgZw==&source=srp
17,JobsLo Consultants,"python  ,  linux  ,  windows  ,  sql",https://www.timesjobs.com/job-detail/python-developer-jobslo-consultants-indore-2-to-3-yrs-jobid-XP1detWpoa5zpSvf__PLUS__uAgZw==&source=srp
18,TandA HR Solutions,"python  ,  git  ,  django",https://www.timesjobs.com/job-detail/python-developer-tanda-hr-solutions-chandigarh-5-to-8-yrs-jobid-id252yPhiLZzpSvf__PLUS__uAgZw==&source=srp
19,LAKSH HUMAN RESOURCE,"rest  ,  python  ,  django  ,  git",https://www.timesjobs.com/job-detail/python-developer-laksh-human-resource-mumbai-1-to-3-yrs-jobid-Bo79FYBR7__SLASH__5zpSvf__PLUS__uAgZw==&source=srp
20,brickred  ( 3pillar global ),"software products  ,  Python  ,  DynamoDB",https://www.timesjobs.com/job-detail/python-developer-brickred-3pillar-global-4-to-7-yrs-jobid-yLg2v6MQrzZzpSvf__PLUS__uAgZw==&source=srp
